ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1988,WALKHUBS2VEC,micro-F1,0.5652173913043478,23,147,Random Forest,eigenvector
1988,WALKHUBS2VEC,macro-F1,0.34154589371980676,23,147,Random Forest,eigenvector
1989,deepwalk,micro-F1,0.6,35,170,Logistic Regression,eigenvector
1989,deepwalk,macro-F1,0.3931818181818182,35,170,Logistic Regression,eigenvector
1989,deepwalk,micro-F1,0.6285714285714286,35,170,Random Forest,eigenvector
1989,deepwalk,macro-F1,0.4257902298850575,35,170,Random Forest,eigenvector
1989,ctdne,micro-F1,0.5428571428571428,35,170,Logistic Regression,eigenvector
1989,ctdne,macro-F1,0.31101190476190477,35,170,Logistic Regression,eigenvector
1989,ctdne,micro-F1,0.6,35,170,Random Forest,eigenvector
1989,ctdne,macro-F1,0.4119013409961686,35,170,Random Forest,eigenvector
1989,tnodeembedding,micro-F1,0.6571428571428571,35,170,Logistic Regression,eigenvector
1989,tnodeembedding,macro-F1,0.4400568181818182,35,170,Logistic Regression,eigenvector
1989,tnodeembedding,micro-F1,0.6571428571428571,35,170,Random Forest,eigenvector
1989,tnodeembedding,macro-F1,0.4395833333333333,35,170,Random Forest,eigenvector
1989,WALKHUBS2VEC,micro-F1,0.6,35,170,Logistic Regression,eigenvector
1989,WALKHUBS2VEC,macro-F1,0.2885878489326765,35,170,Logistic Regression,eigenvector
1989,WALKHUBS2VEC,micro-F1,0.6,35,170,Random Forest,eigenvector
1989,WALKHUBS2VEC,macro-F1,0.3946428571428572,35,170,Random Forest,eigenvector
1990,deepwalk,micro-F1,0.6987951807228916,83,205,Logistic Regression,eigenvector
1990,deepwalk,macro-F1,0.5996820173290762,83,205,Logistic Regression,eigenvector
1990,deepwalk,micro-F1,0.7108433734939759,83,205,Random Forest,eigenvector
1990,deepwalk,macro-F1,0.6049383708826434,83,205,Random Forest,eigenvector
1990,ctdne,micro-F1,0.6265060240963856,83,205,Logistic Regression,eigenvector
1990,ctdne,macro-F1,0.48732006725350746,83,205,Logistic Regression,eigenvector
1990,ctdne,micro-F1,0.5060240963855421,83,205,Random Forest,eigenvector
1990,ctdne,macro-F1,0.39971996502019197,83,205,Random Forest,eigenvector
1990,tnodeembedding,micro-F1,0.7590361445783133,83,205,Logistic Regression,eigenvector
1990,tnodeembedding,macro-F1,0.6968461955573756,83,205,Logistic Regression,eigenvector
