ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1993,tnodeembedding,macro-F1,0.5764897798682547,834,1006,Logistic Regression,degree
1993,tnodeembedding,micro-F1,0.7254196642685853,834,1006,Random Forest,degree
1993,tnodeembedding,macro-F1,0.5483459962056678,834,1006,Random Forest,degree
1993,WALKHUBS2VEC,micro-F1,0.5275779376498801,834,1006,Logistic Regression,degree
1993,WALKHUBS2VEC,macro-F1,0.3422459369551837,834,1006,Logistic Regression,degree
1993,WALKHUBS2VEC,micro-F1,0.564748201438849,834,1006,Random Forest,degree
1993,WALKHUBS2VEC,macro-F1,0.32168374991034243,834,1006,Random Forest,degree
1994,deepwalk,micro-F1,0.764179104477612,1340,1840,Logistic Regression,degree
1994,deepwalk,macro-F1,0.5827783493983267,1340,1840,Logistic Regression,degree
1994,deepwalk,micro-F1,0.75,1340,1840,Random Forest,degree
1994,deepwalk,macro-F1,0.5610548714904309,1340,1840,Random Forest,degree
1994,ctdne,micro-F1,0.7522388059701492,1340,1840,Logistic Regression,degree
1994,ctdne,macro-F1,0.5649063429411909,1340,1840,Logistic Regression,degree
1994,ctdne,micro-F1,0.7305970149253731,1340,1840,Random Forest,degree
1994,ctdne,macro-F1,0.5370961413599507,1340,1840,Random Forest,degree
1994,tnodeembedding,micro-F1,0.7298507462686569,1340,1840,Logistic Regression,degree
1994,tnodeembedding,macro-F1,0.5708257603454788,1340,1840,Logistic Regression,degree
1994,tnodeembedding,micro-F1,0.746268656716418,1340,1840,Random Forest,degree
1994,tnodeembedding,macro-F1,0.5685798139490934,1340,1840,Random Forest,degree
1994,WALKHUBS2VEC,micro-F1,0.6328358208955224,1340,1840,Logistic Regression,degree
1994,WALKHUBS2VEC,macro-F1,0.4575149047431631,1340,1840,Logistic Regression,degree
1994,WALKHUBS2VEC,micro-F1,0.6746268656716418,1340,1840,Random Forest,degree
1994,WALKHUBS2VEC,macro-F1,0.46591844908107766,1340,1840,Random Forest,degree
1995,deepwalk,micro-F1,0.7464174454828659,1605,3180,Logistic Regression,degree
1995,deepwalk,macro-F1,0.6577018433918601,1605,3180,Logistic Regression,degree
1995,deepwalk,micro-F1,0.7514018691588785,1605,3180,Random Forest,degree
1995,deepwalk,macro-F1,0.6297681356266802,1605,3180,Random Forest,degree
1995,ctdne,micro-F1,0.7190031152647977,1605,3180,Logistic Regression,degree
1995,ctdne,macro-F1,0.6078252390407061,1605,3180,Logistic Regression,degree
1995,ctdne,micro-F1,0.7202492211838006,1605,3180,Random Forest,degree
1995,ctdne,macro-F1,0.5812713466158578,1605,3180,Random Forest,degree
1995,tnodeembedding,micro-F1,0.735202492211838,1605,3180,Logistic Regression,degree
1995,tnodeembedding,macro-F1,0.6410464563850399,1605,3180,Logistic Regression,degree
1995,tnodeembedding,micro-F1,0.7495327102803738,1605,3180,Random Forest,degree
1995,tnodeembedding,macro-F1,0.6110108829549012,1605,3180,Random Forest,degree
1995,WALKHUBS2VEC,micro-F1,0.5214953271028038,1605,3180,Logistic Regression,degree
1995,WALKHUBS2VEC,macro-F1,0.3063247332426875,1605,3180,Logistic Regression,degree
1995,WALKHUBS2VEC,micro-F1,0.5096573208722741,1605,3180,Random Forest,degree
1995,WALKHUBS2VEC,macro-F1,0.21053573919287066,1605,3180,Random Forest,degree
1996,deepwalk,micro-F1,0.7723043240284619,1827,4785,Logistic Regression,degree
1996,deepwalk,macro-F1,0.6933641258312957,1827,4785,Logistic Regression,degree
1996,deepwalk,micro-F1,0.769567597153804,1827,4785,Random Forest,degree
1996,deepwalk,macro-F1,0.6734417604841021,1827,4785,Random Forest,degree
1996,ctdne,micro-F1,0.7504105090311987,1827,4785,Logistic Regression,degree
1996,ctdne,macro-F1,0.6499104143432536,1827,4785,Logistic Regression,degree
1996,ctdne,micro-F1,0.7586206896551724,1827,4785,Random Forest,degree
1996,ctdne,macro-F1,0.6337107717443725,1827,4785,Random Forest,degree
1996,tnodeembedding,micro-F1,0.7432950191570882,1827,4785,Logistic Regression,degree
1996,tnodeembedding,macro-F1,0.6521602242149155,1827,4785,Logistic Regression,degree
1996,tnodeembedding,micro-F1,0.7586206896551724,1827,4785,Random Forest,degree
1996,tnodeembedding,macro-F1,0.6379924107825776,1827,4785,Random Forest,degree
1996,WALKHUBS2VEC,micro-F1,0.5566502463054187,1827,4785,Logistic Regression,degree
1996,WALKHUBS2VEC,macro-F1,0.3546783223985977,1827,4785,Logistic Regression,degree
1996,WALKHUBS2VEC,micro-F1,0.5227148330596606,1827,4785,Random Forest,degree
1996,WALKHUBS2VEC,macro-F1,0.2202045109405757,1827,4785,Random Forest,degree
1997,deepwalk,micro-F1,0.7663438256658596,1652,6612,Logistic Regression,degree
1997,deepwalk,macro-F1,0.6921265906453767,1652,6612,Logistic Regression,degree
1997,deepwalk,micro-F1,0.7487893462469734,1652,6612,Random Forest,degree
1997,deepwalk,macro-F1,0.6669968052631675,1652,6612,Random Forest,degree
1997,ctdne,micro-F1,0.7403147699757869,1652,6612,Logistic Regression,degree
1997,ctdne,macro-F1,0.6576012204370874,1652,6612,Logistic Regression,degree
1997,ctdne,micro-F1,0.7518159806295399,1652,6612,Random Forest,degree
1997,ctdne,macro-F1,0.6585836951737298,1652,6612,Random Forest,degree
1997,tnodeembedding,micro-F1,0.7360774818401937,1652,6612,Logistic Regression,degree
1997,tnodeembedding,macro-F1,0.6590579660240895,1652,6612,Logistic Regression,degree
1997,tnodeembedding,micro-F1,0.7427360774818402,1652,6612,Random Forest,degree
1997,tnodeembedding,macro-F1,0.6383988169859636,1652,6612,Random Forest,degree
1997,WALKHUBS2VEC,micro-F1,0.6973365617433414,1652,6612,Logistic Regression,degree
1997,WALKHUBS2VEC,macro-F1,0.5967100737947602,1652,6612,Logistic Regression,degree
1997,WALKHUBS2VEC,micro-F1,0.6713075060532687,1652,6612,Random Forest,degree
1997,WALKHUBS2VEC,macro-F1,0.5419938931647212,1652,6612,Random Forest,degree
1998,deepwalk,micro-F1,0.7879616963064295,731,8264,Logistic Regression,degree
1998,deepwalk,macro-F1,0.7202314377573543,731,8264,Logistic Regression,degree
1998,deepwalk,micro-F1,0.7674418604651162,731,8264,Random Forest,degree
1998,deepwalk,macro-F1,0.6722361960173441,731,8264,Random Forest,degree
1998,ctdne,micro-F1,0.777017783857729,731,8264,Logistic Regression,degree
1998,ctdne,macro-F1,0.7101893089307888,731,8264,Logistic Regression,degree
1998,ctdne,micro-F1,0.7674418604651162,731,8264,Random Forest,degree
1998,ctdne,macro-F1,0.6842526265134424,731,8264,Random Forest,degree
1998,tnodeembedding,micro-F1,0.7482900136798906,731,8264,Logistic Regression,degree
1998,tnodeembedding,macro-F1,0.6724007277713191,731,8264,Logistic Regression,degree
1998,tnodeembedding,micro-F1,0.7633378932968536,731,8264,Random Forest,degree
1998,tnodeembedding,macro-F1,0.6674667994544852,731,8264,Random Forest,degree
1998,WALKHUBS2VEC,micro-F1,0.5663474692202463,731,8264,Logistic Regression,degree
1998,WALKHUBS2VEC,macro-F1,0.36695530825098915,731,8264,Logistic Regression,degree
1998,WALKHUBS2VEC,micro-F1,0.5047879616963065,731,8264,Random Forest,degree
1998,WALKHUBS2VEC,macro-F1,0.23525960013133657,731,8264,Random Forest,degree
